well_id,date,gwl_m
DW-01,2018-01,18.42
DW-01,2018-07,17.05
DW-01,2019-01,18.10
DW-01,2019-07,16.88
DW-01,2020-01,17.93
DW-01,2020-07,16.40
DW-02,2018-01,15.31
DW-02,2018-07,14.20
DW-02,2019-01,15.02
DW-02,2019-07,13.95
DW-02,2020-01,14.77
DW-02,2020-07,13.51
DW-03,2018-01,3.88
DW-03,2018-07,3.21
DW-03,2019-01,3.74
DW-03,2019-07,3.05
DW-03,2020-01,3.59
DW-03,2020-07,2.88
DW-04,2018-01,2.11
DW-04,2018-07,1.62
DW-04,2019-01,2.03
DW-04,2019-07,1.48
DW-04,2020-01,1.90
DW-04,2020-07,1.33
DW-05,2018-01,24.70
DW-05,2018-07,23.18
DW-05,2019-01,24.31
DW-05,2019-07,22.85
DW-05,2020-01,23.96
DW-05,2020-07,22.40
DW-06,2018-01,5.42
DW-06,2018-07,4.66
DW-06,2019-01,5.18
DW-06,2019-07,4.40
DW-06,2020-01,5.01
DW-06,2020-07,4.12
